FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,toilette_type,etab_nom,geometry
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1cf,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{Latrines a eau},Nsp,POINT (1.2084144936801349 6.232198260945528)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d0,Maritime,Avé,Avé 1,Kévé,{Pissotieres},Epp Apeyeme Ga,POINT (0.9216566666666686 6.441445000000001)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d1,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{Latrines a eau},Nsp,POINT (1.1992270313184474 6.245705975129072)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d2,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{Latrines a eau},Nsp,POINT (1.2055344872862024 6.228390857616786)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d3,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{Latrines seches},Nsp,POINT (1.1907714138220673 6.219285702991217)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d4,Maritime,Yoto,Yoto 1,Amoussimé,{WCs},Nsp,POINT (1.5323816666666665 6.620015000000001)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d5,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,{Latrines seches},Nsp,POINT (1.2188700000000001 6.318848333333332)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d6,Savanes,Oti,Oti 1,Mango,{autre},Nsp,POINT (0.475720000000001 10.369216666666695)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d7,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,{Latrines seches},Nsp,POINT (1.2416614996427142 6.317494016168)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d8,Maritime,Avé,Avé 1,Kévé,"{Latrines seches,Pissotieres}",Lycee Keve,POINT (0.9196430952460866 6.438908681345684)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1d9,Maritime,Avé,Avé 1,Kévé,{WCs},Ceg Anyron,POINT (0.9798950000000022 6.51212)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1da,Maritime,Avé,Avé 1,Kévé,{Latrines seches},Epp Apeyeme Ga,POINT (0.9221950000000009 6.4418116666666645)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1db,Maritime,Avé,Avé 1,Kévé,{Pissotieres},Ceg Anyron,POINT (0.9798066666666667 6.512088333333335)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1dc,Maritime,Avé,Avé 1,Assahoun,{Latrines seches},Epp Atti-apedokoe,POINT (0.8993051002523758 6.446458439069451)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1dd,Maritime,Avé,Avé 1,Assahoun,{Pissotieres},Lycee Assahoun College,POINT (0.907335 6.461774999999998)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1de,Maritime,Avé,Avé 1,Ando,{Latrines seches},Ceg Ando-yoto,POINT (0.8509150000000012 6.477119999999998)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1df,Maritime,Avé,Avé 1,Ando,{Latrines seches},Epp Akatikope,POINT (0.8454579646157967 6.432712048027597)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1e0,Maritime,Avé,Avé 1,Ando,{Latrines seches},Cegil Ando-centre,POINT (0.8833966666666675 6.429786666666665)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1e1,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,{Latrines seches},Nsp,POINT (1.6378716666666668 6.433234999999998)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1e2,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,{Latrines seches},Nsp,POINT (1.6379866666666665 6.4335466666666665)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1e3,Savanes,Tandjoaré,Tandjoaré 2,Mamproug,Latrine assise,Nsp,POINT (-0.0182131607109088 10.6701788340191)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1e4,Maritime,Avé,Avé 2,Badja,{WCs},Epl Amept Badja-avedji Lycee,POINT (1.050227903813508 6.399405901254807)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1e5,Maritime,Avé,Avé 2,Badja,{Latrines seches},Lycee Badja College,POINT (0.9862216666666676 6.373345)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1e6,Maritime,Avé,Avé 2,Badja,"{Latrines seches,Douches}",Lycee Badja Lycee,POINT (0.9859016666666689 6.373668333333333)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1e7,Maritime,Avé,Avé 2,Badja,{Latrines seches},Epl Amept Badja-avedji College,POINT (1.0503299999999995 6.399448333333336)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1e8,Maritime,Bas-Mono,Bas-Mono 1,Kpétsou,"{Latrines seches,autre}",Nsp,POINT (1.5494518965913313 6.518738009179623)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1e9,Centrale,Blitta,Blitta 1,Waragni,{Latrines seches},Nsp,POINT (1.0288845436903202 8.270326986196512)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1ea,Centrale,Blitta,Blitta 1,Waragni,{Douches},Nsp,POINT (1.0331250278654485 8.26693955953863)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1eb,Centrale,Blitta,Blitta 1,Waragni,{Latrines seches},Nsp,POINT (1.0330673820913083 8.266904725358398)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1ec,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,{Latrines seches},Nsp,POINT (1.6278166666666671 6.496338333333333)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1ed,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,{Latrines seches},Nsp,POINT (1.634266666666667 6.483404999999999)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1ee,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,{Latrines seches},Nsp,POINT (1.634269477969559 6.483346048512637)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1ef,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,{Latrines seches},Nsp,POINT (1.667476717588363 6.451074868336369)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1f0,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,{Latrines seches},Nsp,POINT (1.6498637739558912 6.43332436400722)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1f1,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,{Latrines seches},Nsp,POINT (1.6674779159279145 6.451144075311945)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1f2,Maritime,Zio,Zio 2,Mission-Tové,WC,Nsp,POINT (1.139328333333331 6.300214999999998)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1f3,Maritime,Bas-Mono,Bas-Mono 2,Hompou,{Latrines seches},Nsp,POINT (1.7015235821492958 6.432233339051741)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1f4,Maritime,Bas-Mono,Bas-Mono 2,Hompou,{Latrines a eau},Nsp,POINT (1.6728330673101095 6.40792876496141)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1f5,Maritime,Bas-Mono,Bas-Mono 2,Hompou,{Latrines a eau},Nsp,POINT (1.6722934478268159 6.408332344300737)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1f6,Maritime,Bas-Mono,Bas-Mono 2,Agome-Glozou,{Latrines seches},Nsp,POINT (1.696060000000001 6.534145)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1f7,Maritime,Golfe,Golfe 2,Bè-Centre,{WCs},Nsp,POINT (1.251453497837719 6.194272712469906)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1f8,Maritime,Zio,Zio 2,Kovié,WC,Nsp,POINT (1.0487767049117511 6.32662477209516)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1f9,Maritime,Lacs,Lacs 2,Aklakou,{WCs},Nsp,POINT (1.708202328144212 6.33325795643213)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1fa,Maritime,Vo,Vo 3,Dzrékpo,{WCs},Nsp,POINT (1.5867335232207664 6.412236072145581)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1fb,Maritime,Vo,Vo 3,Dzrékpo,{WCs},Nsp,POINT (1.5867316666666667 6.411924999999999)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1fc,Maritime,Vo,Vo 3,Dzrékpo,{WCs},Nsp,POINT (1.5867189453158326 6.412423649854072)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1fd,Maritime,Vo,Vo 3,Dzrékpo,{Latrines seches},Nsp,POINT (1.56585319597608 6.4408121854170854)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1fe,Centrale,Tchaoudjo,Tchaoudjo 3,Amaïde,{Latrines seches},Epp Amaide,POINT (1.189785797924062 9.177735808572494)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_1ff,Maritime,Golfe,Golfe 1,Bè-Est,"{WCs,Latrines a eau}",Nsp,POINT (1.237393873032579 6.212293370087814)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_200,Plateaux,Haho,Haho 2,Djemegni,{WCs},Nsp,POINT (1.33142 6.9964699999999995)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_201,Plateaux,Amou,Amou 3,Otadi,{Latrines seches},Nsp,POINT (0.9889716666666664 7.682256666666663)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_202,Plateaux,Anié,Anié 1,Anié,{Pissotieres},Nsp,POINT (1.1989588334318255 7.764305613918349)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_203,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,{WCs},Nsp,POINT (0.7416893140204647 7.126958231986697)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_204,Maritime,Golfe,Golfe 4,Amoutivé,{WCs},Nsp,POINT (1.2015688240197149 6.132921274565938)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_205,Plateaux,Est-Mono,Est-Mono 2,Morétan,{WCs},Nsp,POINT (1.3436624170730744 8.293859695826967)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_206,Maritime,Golfe,Golfe 6,Baguida,{WCs},Nsp,POINT (1.36383 6.184031666666669)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_207,Maritime,Golfe,Golfe 6,Baguida,"{Douches,Latrines a eau}",Nsp,POINT (1.3637883333333332 6.183849999999998)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_208,Maritime,Golfe,Golfe 6,Baguida,{WCs},Nsp,POINT (1.3281533333333333 6.175496666666666)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_209,Maritime,Golfe,Golfe 6,Baguida,{Douches},Nsp,POINT (1.3279422933419032 6.175318550457455)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_20a,Maritime,Golfe,Golfe 6,Baguida,{WCs},Nsp,POINT (1.363823333333333 6.184076666666664)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_20b,Maritime,Golfe,Golfe 6,Baguida,{Latrines a eau},Nsp,POINT (1.3280583333333336 6.175525000000003)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_20c,Plateaux,Haho,Haho 4,Akpakpakpé,{Latrines seches},Nsp,POINT (1.0230700000000004 7.108556666666668)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_20d,Maritime,Vo,Vo 1,Vogan,{Latrines seches},Nsp,POINT (1.5033349999999996 6.288761666666667)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_20e,Plateaux,Kpélé,Kpélé 1,Kpélé-Dawlotou,{Latrines seches},Nsp,POINT (0.9534664931164835 7.010770730738806)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_20f,Maritime,Vo,Vo 1,Vogan,{Latrines seches},Nsp,POINT (1.5175251867881387 6.361374972039206)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_210,Maritime,Vo,Vo 1,Vogan,{Douches},Nsp,POINT (1.4674433333333339 6.336305)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_211,Maritime,Vo,Vo 1,Vogan,{Latrines seches},Nsp,POINT (1.466147428075624 6.337837199307016)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_212,Maritime,Vo,Vo 1,Vogan,{Latrines seches},Nsp,POINT (1.5311679652272605 6.33296568895945)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_213,Maritime,Vo,Vo 1,Vo-Koutimé,{WCs},Nsp,POINT (1.5861390990826771 6.37162686863112)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_214,Maritime,Vo,Vo 1,Vo-Koutimé,{WCs},Nsp,POINT (1.5803535948903547 6.396521637217598)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_215,Maritime,Vo,Vo 1,Vo-Koutimé,{Pissotieres},Nsp,POINT (1.5665466349803951 6.359828567381829)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_216,Maritime,Vo,Vo 1,Vo-Koutimé,{Latrines seches},Nsp,POINT (1.5872561313095892 6.334833750895237)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_217,Maritime,Vo,Vo 2,Togoville,{WCs},Nsp,POINT (1.5186400000000002 6.241406666666668)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_218,Maritime,Lacs,Lacs 1,Glidji,{Latrines seches},Nsp,POINT (1.6241129322632846 6.261038933672903)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_219,Maritime,Lacs,Lacs 1,Glidji,{Latrines seches},Nsp,POINT (1.6102867301903423 6.259641909374396)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_21a,Maritime,Lacs,Lacs 2,Aklakou,{Latrines seches},Nsp,POINT (1.708225943198459 6.333279941650814)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_21b,Maritime,Yoto,Yoto 2,Ahépé,{Latrines seches},Nsp,POINT (1.3937085591026594 6.607549443097486)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_21c,Maritime,Lacs,Lacs 2,Agouégan,{Latrines seches},Nsp,POINT (1.7316661940713118 6.274099648438467)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_21d,Maritime,Lacs,Lacs 2,Agouégan,{Latrines seches},Nsp,POINT (1.678468134666154 6.265442629027725)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_21e,Maritime,Lacs,Lacs 2,Agouégan,{Latrines seches},Nsp,POINT (1.6988216666666673 6.2683349999999995)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_21f,Maritime,Lacs,Lacs 4,Anfoin,"{Douches,Latrines seches}",Nsp,POINT (1.6043583333333333 6.337065000000001)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_220,Maritime,Lacs,Lacs 4,Fiata,"{Latrines seches,Douches}",Nsp,POINT (1.6656753021426323 6.301129065791313)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_221,Maritime,Lacs,Lacs 4,Fiata,{WCs},Nsp,POINT (1.6571833333333346 6.348761666666668)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_222,Maritime,Lacs,Lacs 4,Fiata,{Latrines seches},Nsp,POINT (1.6658802811348725 6.301262675343986)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_223,Maritime,Lacs,Lacs 4,Fiata,"{Latrines seches,Douches}",Nsp,POINT (1.6656897299821964 6.301262834467296)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_224,Maritime,Lacs,Lacs 4,Ganavé,{Latrines seches},Nsp,POINT (1.6192783333333336 6.324130000000002)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_225,Maritime,Vo,Vo 3,Mome-Hounkpati,{Latrines seches},Nsp,POINT (1.5576966088241737 6.468170389936911)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_226,Maritime,Vo,Vo 3,Mome-Hounkpati,{Latrines seches},Nsp,POINT (1.5576264267891025 6.468145265719732)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_227,Maritime,Vo,Vo 4,Sévagan,{WCs},Nsp,POINT (1.3958427615342226 6.326804348388519)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_228,Maritime,Vo,Vo 4,Sévagan,{Latrines seches},Nsp,POINT (1.4174405015263116 6.334371567128531)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_229,Maritime,Vo,Vo 4,Sévagan,{WCs},Nsp,POINT (1.4370361534110558 6.337384506635259)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_22a,Maritime,Vo,Vo 4,Akoumapé,{Latrines seches},Nsp,POINT (1.4538719980278871 6.385467897212852)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_22b,Maritime,Vo,Vo 4,Akoumapé,{Pissotieres},Nsp,POINT (1.453455 6.384548333333331)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_22c,Maritime,Vo,Vo 4,Akoumapé,{Latrines seches},Nsp,POINT (1.4615478147860368 6.38541712146749)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_22d,Maritime,Yoto,Yoto 1,Amoussimé,{Latrines seches},Nsp,POINT (1.5364666666666664 6.645093333333333)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_22e,Maritime,Yoto,Yoto 1,Kouvé,{Latrines seches},Nsp,POINT (1.4144311574811097 6.65234278452402)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_22f,Maritime,Yoto,Yoto 1,Kouvé,{Pissotieres},Nsp,POINT (1.4151973006446 6.65129253343477)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_230,Maritime,Yoto,Yoto 1,Kini-Kondji,"{WCs,Pissotieres}",Nsp,POINT (1.54137304741178 6.603654779076989)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_231,Maritime,Yoto,Yoto 1,Kini-Kondji,"{WCs,Pissotieres}",Nsp,POINT (1.5416216666666698 6.6038049999999995)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_232,Maritime,Yoto,Yoto 2,Tchékpo,{Latrines seches},Nsp,POINT (1.3604413757462062 6.527238155291641)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_233,Maritime,Yoto,Yoto 3,Gboto,{Latrines seches},Nsp,POINT (1.476159260325682 6.704563080424541)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_234,Maritime,Yoto,Yoto 3,Gboto,{Latrines seches},Nsp,POINT (1.4803059224996076 6.713242242877177)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_235,Maritime,Yoto,Yoto 3,Tométy-Kondji,{WCs},Nsp,POINT (1.5569333333333342 6.7715983333333325)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_236,Maritime,Yoto,Yoto 3,Tométy-Kondji,{Latrines seches},Nsp,POINT (1.533214247504935 6.773725631314727)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_237,Maritime,Zio,Zio 1,Abobo,{Latrines seches},Nsp,POINT (1.30932166666667 6.244195)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_238,Maritime,Zio,Zio 1,Djagblé,{Latrines seches},Nsp,POINT (1.2653884940377405 6.271758413110589)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_239,Maritime,Zio,Zio 1,Djagblé,{Latrines seches},Nsp,POINT (1.2654469665948203 6.272012587749939)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_23a,Maritime,Zio,Zio 1,Djagblé,{Latrines seches},Nsp,POINT (1.2654622599128103 6.272140223228309)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_23b,Maritime,Yoto,Yoto 3,Sendome,{WCs},Nsp,POINT (1.572908333333334 6.767009999999998)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_23c,Maritime,Yoto,Yoto 3,Sendome,"{Pissotieres,Latrines seches}",Nsp,POINT (1.577580157331432 6.7549211931094275)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_23d,Maritime,Yoto,Yoto 3,Essé-Godjin,{WCs},Nsp,POINT (1.5175633333333334 6.707996666666669)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_23e,Maritime,Zio,Zio 1,Kpomé,"{Douches, Latrines seches}",Nsp,POINT (1.36246407860933 6.289838229716346)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_23f,Maritime,Zio,Zio 1,Dalavé,{Latrines seches},Nsp,POINT (1.2318416666666707 6.39203833333333)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_240,Maritime,Zio,Zio 1,Gbatopé,{Latrines seches},Nsp,POINT (1.2918821848394109 6.52589199490359)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_241,Maritime,Zio,Zio 1,Gbatopé,{Latrines seches},Nsp,POINT (1.3267100556695794 6.49270778001614)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_242,Maritime,Zio,Zio 1,Gbatopé,{WCs},Nsp,POINT (1.3248216666666706 6.494281666666668)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_243,Maritime,Zio,Zio 2,Mission-Tové,{Latrines seches},Nsp,POINT (1.1151950000000013 6.321903333333328)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_244,Maritime,Zio,Zio 1,Tsévié,{Latrines seches},Nsp,POINT (1.2145645950286452 6.443910045449294)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_245,Maritime,Zio,Zio 1,Tsévié,{Latrines a eau},Nsp,POINT (1.1902866666666663 6.420168333333328)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_246,Maritime,Zio,Zio 1,Tsévié,{Latrines a eau},Nsp,POINT (1.1901840653921263 6.42020948477879)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_247,Maritime,Zio,Zio 1,Tsévié,{Latrines a eau},Nsp,POINT (1.1904876257370631 6.420663858401435)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_248,Maritime,Zio,Zio 1,Tsévié,{Latrines seches},Nsp,POINT (1.203845592448675 6.430189838735005)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_249,Maritime,Zio,Zio 1,Tsévié,{Latrines seches},Nsp,POINT (1.2361977475106931 6.4324503869479495)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_24a,Maritime,Zio,Zio 1,Tsévié,{Latrines a eau},Nsp,POINT (1.2131016666666667 6.408264999999998)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_24b,Maritime,Zio,Zio 1,Tsévié,{Latrines seches},Nsp,POINT (1.189850140181945 6.529930337412326)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_24c,Maritime,Zio,Zio 1,Tsévié,{Pissotieres},Nsp,POINT (1.2042962984372372 6.4297458221380195)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_24d,Maritime,Zio,Zio 1,Tsévié,{Latrines seches},Nsp,POINT (1.203880969276362 6.430279132139799)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_24e,Maritime,Zio,Zio 1,Tsévié,{Latrines seches},Nsp,POINT (1.2359841987730995 6.432435123757447)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_24f,Maritime,Zio,Zio 1,Tsévié,"{Latrines a eau,Latrines seches}",Nsp,POINT (1.2191783333333344 6.4315)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_250,Maritime,Zio,Zio 1,Tsévié,{Latrines a eau},Nsp,POINT (1.2016873761742544 6.428634282687315)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_251,Centrale,Sotouboua,Sotouboua 3,Tchébébé,{autre},Nsp,POINT (0.9916916666666657 8.437975)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_252,Maritime,Zio,Zio 1,Tsévié,{Latrines seches},Nsp,POINT (1.2039316666666662 6.430406666666668)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_253,Maritime,Zio,Zio 1,Tsévié,{Latrines a eau},Nsp,POINT (1.213170000000001 6.408198333333333)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_254,Maritime,Zio,Zio 1,Tsévié,{Latrines a eau},Nsp,POINT (1.1903716912111748 6.420696605855726)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_255,Maritime,Zio,Zio 1,Tsévié,"{Latrines seches,Pissotieres}",Nsp,POINT (1.2191667608679013 6.431368190916416)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_256,Maritime,Zio,Zio 1,Davié,WC,Nsp,POINT (1.1545000232087907 6.363796812345221)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_257,Maritime,Zio,Zio 2,Kovié,{Latrines seches},Nsp,POINT (1.0450395311395213 6.323013705993041)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_258,Maritime,Zio,Zio 2,Kovié,{Latrines seches},Nsp,POINT (1.11525333333333 6.33458)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_259,Maritime,Zio,Zio 2,Kovié,{Latrines seches},Nsp,POINT (1.115305000000001 6.334498333333331)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_25a,Maritime,Zio,Zio 2,Kovié,{Latrines seches},Nsp,POINT (1.0521449804355298 6.321307481100728)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_25b,Maritime,Zio,Zio 3,Gamé-Sèva,{Latrines seches},Nsp,POINT (1.170486315531971 6.738693629805277)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_25c,Maritime,Zio,Zio 3,Agbélouvé,{WCs},Nsp,POINT (0.911563970401301 6.7898067215251405)
