FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,toilette_type,etab_nom,geometry
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_62e,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{WCs},Nsp,POINT (1.2264249999999985 6.222205013031565)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_62f,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{Latrines a eau},Nsp,POINT (1.2167613373665147 6.2190744145796595)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_630,Maritime,Vo,Vo 1,Vogan,{WCs},Nsp,POINT (1.4858049999999996 6.394684999999998)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_631,Maritime,Bas-Mono,Bas-Mono 2,Agbétiko,{Latrines seches},Nsp,POINT (1.7542502295905946 6.441594888015061)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_632,Maritime,Bas-Mono,Bas-Mono 2,Agbétiko,{Latrines seches},Nsp,POINT (1.754603333333333 6.441680000000001)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_633,Maritime,Bas-Mono,Bas-Mono 2,Agbétiko,{Latrines seches},Nsp,POINT (1.7515463747184936 6.454200987740367)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_634,Maritime,Bas-Mono,Bas-Mono 2,Agbétiko,{Latrines seches},Nsp,POINT (1.709905141430673 6.497383451065918)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_635,Maritime,Bas-Mono,Bas-Mono 2,Agbétiko,{Latrines seches},Nsp,POINT (1.7398829553936919 6.472601971644623)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_636,Maritime,Bas-Mono,Bas-Mono 2,Agbétiko,{Latrines seches},Nsp,POINT (1.7117967797677576 6.49673806099263)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_637,Maritime,Vo,Vo 3,Dzrékpo,{WCs},Nsp,POINT (1.5781795110594372 6.413930680912926)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_638,Maritime,Vo,Vo 3,Dzrékpo,{WCs},Nsp,POINT (1.5872519690476983 6.415560271945008)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_639,Maritime,Vo,Vo 3,Dzrékpo,{Pissotieres},Nsp,POINT (1.5605583333333342 6.449318333333334)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_63a,Maritime,Vo,Vo 3,Dzrékpo,{Latrines seches},Nsp,POINT (1.5469407943259799 6.458616034702279)
