"indicateur","inspections","sexe","Unit","Date","Value"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Yoto Est","Masculin","Nombre","2022","7"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Yoto Est","Féminin","Nombre","2022","63"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Yoto Ouest","Total","Nombre","2022","42"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Yoto Ouest","Masculin","Nombre","2022","7"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Yoto Ouest","Féminin","Nombre","2022","35"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Zio Centre","Total","Nombre","2022","124"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Zio Centre","Masculin","Nombre","2022","9"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Zio Centre","Féminin","Nombre","2022","115"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Zio Nord","Total","Nombre","2022","89"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Zio Nord","Masculin","Nombre","2022","9"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Zio Nord","Féminin","Nombre","2022","80"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Zio Sud","Total","Nombre","2022","183"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Zio Sud","Masculin","Nombre","2022","9"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Zio Sud","Féminin","Nombre","2022","174"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Plateaux Est","Total","Nombre","2022","791"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Plateaux Est","Masculin","Nombre","2022","60"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","T.R.Plateaux Est","Féminin","Nombre","2022","731"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Amou Nord","Total","Nombre","2022","52"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Amou Nord","Masculin","Nombre","2022","4"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Amou Nord","Féminin","Nombre","2022","48"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Amou Sud","Total","Nombre","2022","81"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Amou Sud","Masculin","Nombre","2022","6"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Amou Sud","Féminin","Nombre","2022","75"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Anie","Total","Nombre","2022","82"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Anie","Masculin","Nombre","2022","11"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Anie","Féminin","Nombre","2022","71"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Est mono","Total","Nombre","2022","128"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Est mono","Masculin","Nombre","2022","15"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Est mono","Féminin","Nombre","2022","113"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Haho Est","Total","Nombre","2022","46"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Haho Est","Masculin","Nombre","2022","4"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Haho Est","Féminin","Nombre","2022","42"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Haho Nord","Total","Nombre","2022","45"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Haho Nord","Masculin","Nombre","2022","4"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Haho Nord","Féminin","Nombre","2022","41"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Haho Sud","Total","Nombre","2022","151"
"Répartition des enseignants du préscolaire par inspection et le sexe, 2021-2022","Haho Sud","Masculin","Nombre","2022","6"
