"indicateurs","niveau","secteur","Unit","Date","Value"
"Nombre d'écoles","Jardins d'enfants","Public","Number","2021","2264"
"Nombre d'écoles","Jardins d'enfants","Public","Number","2022","2529"
"Nombre d'écoles","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2013","716"
"Nombre d'écoles","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2014","819"
"Nombre d'écoles","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2015","823"
"Nombre d'écoles","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2016","923"
"Nombre d'écoles","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2017","1062"
"Nombre d'écoles","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2018","1131"
"Nombre d'écoles","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2019","1259"
"Nombre d'écoles","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2020","1623"
"Nombre d'écoles","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2021","1674"
"Nombre d'écoles","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2022","1554"
"Nombre d'écoles","Primaire","Total","Number","2013","6582"
"Nombre d'écoles","Primaire","Total","Number","2014","6721"
"Nombre d'écoles","Primaire","Total","Number","2015","6744"
"Nombre d'écoles","Primaire","Total","Number","2016","7145"
"Nombre d'écoles","Primaire","Total","Number","2017","7315"
"Nombre d'écoles","Primaire","Total","Number","2018","7458"
"Nombre d'écoles","Primaire","Total","Number","2019","7662"
"Nombre d'écoles","Primaire","Total","Number","2020","7894"
"Nombre d'écoles","Primaire","Total","Number","2021","8043"
"Nombre d'écoles","Primaire","Total","Number","2022","8196"
"Nombre d'écoles","Primaire","Public","Number","2013","4500"
"Nombre d'écoles","Primaire","Public","Number","2014","4676"
"Nombre d'écoles","Primaire","Public","Number","2015","4757"
"Nombre d'écoles","Primaire","Public","Number","2016","4911"
"Nombre d'écoles","Primaire","Public","Number","2017","4978"
"Nombre d'écoles","Primaire","Public","Number","2018","5033"
"Nombre d'écoles","Primaire","Public","Number","2019","5111"
"Nombre d'écoles","Primaire","Public","Number","2020","5233"
"Nombre d'écoles","Primaire","Public","Number","2021","5307"
"Nombre d'écoles","Primaire","Public","Number","2022","5415"
"Nombre d'écoles","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2013","2082"
"Nombre d'écoles","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2014","2045"
"Nombre d'écoles","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2015","1987"
"Nombre d'écoles","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2016","2234"
"Nombre d'écoles","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2017","2337"
