"indicateur","secteur","type-salle","region","sexe","Unit","Date","Value"
"Nombre Elèves","Collège","Total","Maritime","Féminin","","2015","29720"
"Nombre Elèves","Collège","Total","Maritime","Total","","2015","71534"
"Nombre Elèves","Collège","Total","Plateaux","Masculin","","2015","57347"
"Nombre Elèves","Collège","Total","Plateaux","Féminin","","2015","36944"
"Nombre Elèves","Collège","Total","Plateaux","Total","","2015","94291"
"Nombre Elèves","Collège","Total","Centrale","Masculin","","2015","32956"
"Nombre Elèves","Collège","Total","Centrale","Féminin","","2015","22497"
"Nombre Elèves","Collège","Total","Centrale","Total","","2015","55453"
"Nombre Elèves","Collège","Total","Kara","Masculin","","2015","37638"
"Nombre Elèves","Collège","Total","Kara","Féminin","","2015","24969"
"Nombre Elèves","Collège","Total","Kara","Total","","2015","62607"
"Nombre Elèves","Collège","Total","Savanes","Masculin","","2015","35835"
"Nombre Elèves","Collège","Total","Savanes","Féminin","","2015","22944"
"Nombre Elèves","Collège","Total","Savanes","Total","","2015","58779"
"Nombre Elèves","Lycée","Total","Togo","Masculin","","2015","90864"
"Nombre Elèves","Lycée","Total","Togo","Féminin","","2015","42382"
"Nombre Elèves","Lycée","Total","Togo","Total","","2015","133246"
"Nombre Elèves","Lycée","Total","Golfe Lomé","Masculin","","2015","22559"
"Nombre Elèves","Lycée","Total","Golfe Lomé","Féminin","","2015","14867"
"Nombre Elèves","Lycée","Total","Golfe Lomé","Total","","2015","37426"
"Nombre Elèves","Lycée","Total","Maritime","Masculin","","2015","11348"
"Nombre Elèves","Lycée","Total","Maritime","Féminin","","2015","4698"
"Nombre Elèves","Lycée","Total","Maritime","Total","","2015","16046"
"Nombre Elèves","Lycée","Total","Plateaux","Masculin","","2015","21342"
"Nombre Elèves","Lycée","Total","Plateaux","Féminin","","2015","8142"
"Nombre Elèves","Lycée","Total","Plateaux","Total","","2015","29484"
"Nombre Elèves","Lycée","Total","Centrale","Masculin","","2015","11685"
"Nombre Elèves","Lycée","Total","Centrale","Féminin","","2015","4866"
"Nombre Elèves","Lycée","Total","Centrale","Total","","2015","16551"
"Nombre Elèves","Lycée","Total","Kara","Masculin","","2015","13944"
"Nombre Elèves","Lycée","Total","Kara","Féminin","","2015","6099"
"Nombre Elèves","Lycée","Total","Kara","Total","","2015","20043"
"Nombre Elèves","Lycée","Total","Savanes","Masculin","","2015","9986"
"Nombre Elèves","Lycée","Total","Savanes","Féminin","","2015","3710"
"Nombre Elèves","Lycée","Total","Savanes","Total","","2015","13696"
"Nombre Enseignants","Collège","Total","Togo","Masculin","","2015","11893"
"Nombre Enseignants","Collège","Total","Togo","Féminin","","2015","759"
"Nombre Enseignants","Collège","Total","Togo","Total","","2015","12652"
"Nombre Enseignants","Collège","Total","Golfe Lomé","Masculin","","2015","3362"
"Nombre Enseignants","Collège","Total","Golfe Lomé","Féminin","","2015","304"
"Nombre Enseignants","Collège","Total","Golfe Lomé","Total","","2015","3666"
"Nombre Enseignants","Collège","Total","Maritime","Masculin","","2015","2162"
"Nombre Enseignants","Collège","Total","Maritime","Féminin","","2015","90"
"Nombre Enseignants","Collège","Total","Maritime","Total","","2015","2252"
"Nombre Enseignants","Collège","Total","Plateaux","Masculin","","2015","2333"
"Nombre Enseignants","Collège","Total","Plateaux","Féminin","","2015","129"
"Nombre Enseignants","Collège","Total","Plateaux","Total","","2015","2462"
"Nombre Enseignants","Collège","Total","Centrale","Masculin","","2015","1385"
"Nombre Enseignants","Collège","Total","Centrale","Féminin","","2015","73"
"Nombre Enseignants","Collège","Total","Centrale","Total","","2015","1458"
"Nombre Enseignants","Collège","Total","Kara","Masculin","","2015","1503"
"Nombre Enseignants","Collège","Total","Kara","Féminin","","2015","97"
"Nombre Enseignants","Collège","Total","Kara","Total","","2015","1600"
"Nombre Enseignants","Collège","Total","Savanes","Masculin","","2015","1148"
"Nombre Enseignants","Collège","Total","Savanes","Féminin","","2015","66"
"Nombre Enseignants","Collège","Total","Savanes","Total","","2015","1214"
"Nombre Enseignants","Lycée","Total","Togo","Masculin","","2015","4502"
"Nombre Enseignants","Lycée","Total","Togo","Féminin","","2015","375"
"Nombre Enseignants","Lycée","Total","Togo","Total","","2015","4877"
"Nombre Enseignants","Lycée","Total","Golfe Lomé","Masculin","","2015","1387"
"Nombre Enseignants","Lycée","Total","Golfe Lomé","Féminin","","2015","204"
"Nombre Enseignants","Lycée","Total","Golfe Lomé","Total","","2015","1591"
"Nombre Enseignants","Lycée","Total","Maritime","Masculin","","2015","568"
"Nombre Enseignants","Lycée","Total","Maritime","Féminin","","2015","32"
"Nombre Enseignants","Lycée","Total","Maritime","Total","","2015","600"
"Nombre Enseignants","Lycée","Total","Plateaux","Masculin","","2015","796"
"Nombre Enseignants","Lycée","Total","Plateaux","Féminin","","2015","42"
"Nombre Enseignants","Lycée","Total","Plateaux","Total","","2015","838"
"Nombre Enseignants","Lycée","Total","Centrale","Masculin","","2015","657"
"Nombre Enseignants","Lycée","Total","Centrale","Féminin","","2015","29"
"Nombre Enseignants","Lycée","Total","Centrale","Total","","2015","686"
"Nombre Enseignants","Lycée","Total","Kara","Masculin","","2015","714"
"Nombre Enseignants","Lycée","Total","Kara","Féminin","","2015","50"
"Nombre Enseignants","Lycée","Total","Kara","Total","","2015","764"
"Nombre Enseignants","Lycée","Total","Savanes","Masculin","","2015","380"
"Nombre Enseignants","Lycée","Total","Savanes","Féminin","","2015","18"
"Nombre Enseignants","Lycée","Total","Savanes","Total","","2015","398"
