"indicateur","région","sexe","Unit","Date","Value"
"Taux de transition primaire/secondaire 1","Maritime","Masculin","%","2022","76.1"
"Taux de transition primaire/secondaire 1","Maritime","Féminin","%","2014","52.2"
"Taux de transition primaire/secondaire 1","Maritime","Féminin","%","2015","52.4"
"Taux de transition primaire/secondaire 1","Maritime","Féminin","%","2016","61"
"Taux de transition primaire/secondaire 1","Maritime","Féminin","%","2017","69.1"
"Taux de transition primaire/secondaire 1","Maritime","Féminin","%","2018","72"
"Taux de transition primaire/secondaire 1","Maritime","Féminin","%","2019","68.5"
"Taux de transition primaire/secondaire 1","Maritime","Féminin","%","2020","71.9"
"Taux de transition primaire/secondaire 1","Maritime","Féminin","%","2021","75.5"
"Taux de transition primaire/secondaire 1","Maritime","Féminin","%","2022","73.3"
"Taux de transition primaire/secondaire 1","Plateaux","Total","%","2014","65.7"
"Taux de transition primaire/secondaire 1","Plateaux","Total","%","2015","66"
"Taux de transition primaire/secondaire 1","Plateaux","Total","%","2016","73.8"
"Taux de transition primaire/secondaire 1","Plateaux","Total","%","2017","72.3"
"Taux de transition primaire/secondaire 1","Plateaux","Total","%","2018","70.3"
"Taux de transition primaire/secondaire 1","Plateaux","Total","%","2019","65.5"
"Taux de transition primaire/secondaire 1","Plateaux","Total","%","2020","65.9"
"Taux de transition primaire/secondaire 1","Plateaux","Total","%","2021","67.3"
"Taux de transition primaire/secondaire 1","Plateaux","Masculin","%","2014","68.4"
"Taux de transition primaire/secondaire 1","Plateaux","Masculin","%","2015","68.7"
"Taux de transition primaire/secondaire 1","Plateaux","Masculin","%","2016","77.8"
"Taux de transition primaire/secondaire 1","Plateaux","Masculin","%","2017","75.3"
"Taux de transition primaire/secondaire 1","Plateaux","Masculin","%","2018","73.3"
"Taux de transition primaire/secondaire 1","Plateaux","Masculin","%","2019","68.3"
"Taux de transition primaire/secondaire 1","Plateaux","Masculin","%","2020","69.5"
"Taux de transition primaire/secondaire 1","Plateaux","Masculin","%","2021","70.6"
"Taux de transition primaire/secondaire 1","Plateaux","Féminin","%","2014","62.2"
"Taux de transition primaire/secondaire 1","Plateaux","Féminin","%","2015","62.4"
"Taux de transition primaire/secondaire 1","Plateaux","Féminin","%","2016","69.1"
"Taux de transition primaire/secondaire 1","Plateaux","Féminin","%","2017","68.9"
"Taux de transition primaire/secondaire 1","Plateaux","Féminin","%","2018","66.9"
"Taux de transition primaire/secondaire 1","Plateaux","Féminin","%","2019","62.5"
"Taux de transition primaire/secondaire 1","Plateaux","Féminin","%","2020","62.1"
"Taux de transition primaire/secondaire 1","Plateaux","Féminin","%","2021","63.9"
"Taux de transition primaire/secondaire 1","Plateaux Ouest","Total","%","2022","66.2"
"Taux de transition primaire/secondaire 1","Plateaux Ouest","Masculin","%","2022","69.6"
"Taux de transition primaire/secondaire 1","Plateaux Ouest","Féminin","%","2022","62.6"
"Taux de transition primaire/secondaire 1","Plateaux Est","Total","%","2022","64.1"
"Taux de transition primaire/secondaire 1","Plateaux Est","Masculin","%","2022","64.6"
"Taux de transition primaire/secondaire 1","Plateaux Est","Féminin","%","2022","63.5"
"Taux de transition primaire/secondaire 1","Centrale","Total","%","2014","73.6"
"Taux de transition primaire/secondaire 1","Centrale","Total","%","2015","73.9"
"Taux de transition primaire/secondaire 1","Centrale","Total","%","2016","79.3"
"Taux de transition primaire/secondaire 1","Centrale","Total","%","2017","59.7"
"Taux de transition primaire/secondaire 1","Centrale","Total","%","2018","58.3"
"Taux de transition primaire/secondaire 1","Centrale","Total","%","2019","61.3"
"Taux de transition primaire/secondaire 1","Centrale","Total","%","2020","62.4"
"Taux de transition primaire/secondaire 1","Centrale","Total","%","2021","68.3"
"Taux de transition primaire/secondaire 1","Centrale","Total","%","2022","75.3"
"Taux de transition primaire/secondaire 1","Centrale","Masculin","%","2014","75.1"
"Taux de transition primaire/secondaire 1","Centrale","Masculin","%","2015","75.4"
"Taux de transition primaire/secondaire 1","Centrale","Masculin","%","2016","83.6"
"Taux de transition primaire/secondaire 1","Centrale","Masculin","%","2017","63.4"
"Taux de transition primaire/secondaire 1","Centrale","Masculin","%","2018","61.7"
"Taux de transition primaire/secondaire 1","Centrale","Masculin","%","2019","63.2"
"Taux de transition primaire/secondaire 1","Centrale","Masculin","%","2020","65.2"
"Taux de transition primaire/secondaire 1","Centrale","Masculin","%","2021","70.7"
"Taux de transition primaire/secondaire 1","Centrale","Masculin","%","2022","77.8"
"Taux de transition primaire/secondaire 1","Centrale","Féminin","%","2014","71.8"
"Taux de transition primaire/secondaire 1","Centrale","Féminin","%","2015","72.1"
"Taux de transition primaire/secondaire 1","Centrale","Féminin","%","2016","74.5"
"Taux de transition primaire/secondaire 1","Centrale","Féminin","%","2017","55.7"
"Taux de transition primaire/secondaire 1","Centrale","Féminin","%","2018","54.4"
"Taux de transition primaire/secondaire 1","Centrale","Féminin","%","2019","59.2"
"Taux de transition primaire/secondaire 1","Centrale","Féminin","%","2020","59.4"
"Taux de transition primaire/secondaire 1","Centrale","Féminin","%","2021","65.7"
"Taux de transition primaire/secondaire 1","Centrale","Féminin","%","2022","72.6"
"Taux de transition primaire/secondaire 1","Kara","Total","%","2014","81.3"
"Taux de transition primaire/secondaire 1","Kara","Total","%","2015","81.6"
"Taux de transition primaire/secondaire 1","Kara","Total","%","2016","81.6"
"Taux de transition primaire/secondaire 1","Kara","Total","%","2017","85.1"
"Taux de transition primaire/secondaire 1","Kara","Total","%","2018","66.9"
"Taux de transition primaire/secondaire 1","Kara","Total","%","2019","70.6"
"Taux de transition primaire/secondaire 1","Kara","Total","%","2020","71.6"
"Taux de transition primaire/secondaire 1","Kara","Total","%","2021","80.5"
"Taux de transition primaire/secondaire 1","Kara","Total","%","2022","80.9"
"Taux de transition primaire/secondaire 1","Kara","Masculin","%","2014","84.3"
"Taux de transition primaire/secondaire 1","Kara","Masculin","%","2015","84.7"
"Taux de transition primaire/secondaire 1","Kara","Masculin","%","2016","86.1"
"Taux de transition primaire/secondaire 1","Kara","Masculin","%","2017","88.5"
"Taux de transition primaire/secondaire 1","Kara","Masculin","%","2018","70.7"
"Taux de transition primaire/secondaire 1","Kara","Masculin","%","2019","73.9"
"Taux de transition primaire/secondaire 1","Kara","Masculin","%","2020","74"
"Taux de transition primaire/secondaire 1","Kara","Masculin","%","2021","83"
"Taux de transition primaire/secondaire 1","Kara","Masculin","%","2022","82.9"
"Taux de transition primaire/secondaire 1","Kara","Féminin","%","2014","77.5"
"Taux de transition primaire/secondaire 1","Kara","Féminin","%","2015","77.8"
"Taux de transition primaire/secondaire 1","Kara","Féminin","%","2016","76.6"
"Taux de transition primaire/secondaire 1","Kara","Féminin","%","2017","81.2"
"Taux de transition primaire/secondaire 1","Kara","Féminin","%","2018","62.7"
"Taux de transition primaire/secondaire 1","Kara","Féminin","%","2019","66.9"
"Taux de transition primaire/secondaire 1","Kara","Féminin","%","2020","69"
"Taux de transition primaire/secondaire 1","Kara","Féminin","%","2021","77.6"
"Taux de transition primaire/secondaire 1","Kara","Féminin","%","2022","78.6"
"Taux de transition primaire/secondaire 1","Savanes","Total","%","2014","85.9"
"Taux de transition primaire/secondaire 1","Savanes","Total","%","2015","86.2"
"Taux de transition primaire/secondaire 1","Savanes","Total","%","2016","81.1"
"Taux de transition primaire/secondaire 1","Savanes","Total","%","2017","56.1"
"Taux de transition primaire/secondaire 1","Savanes","Total","%","2018","65.7"
