id,number,joint_subproject_number,title,type,subproject_type_designation,sector,works_type,component,projects,financiers,status,current_status_of_the_site,progress_percent,progress_value,estimated_cost,contract_amount_work_companies,total_contract_amount_paid,amount_of_the_care_and_maintenance_fund_expected,care_and_maintenance_amount_on_village_account,date_signature_contract_work_companies,date_signature_contract_efme,contract_companies_amount_for_efme,date_signature_contract_controllers_in_SES,date_of_signature_of_contract_for_construction_supervisors,approval_date_cora,launch_date,expected_duration,expected_end_date,work_completion_date,date_of_technical_acceptance_of_work,date_of_provisional_acceptance_of_work,official_handover_date_to_community,existence_of_maintenance_plan,wave,number_of_classrooms,number_of_infrastructures,population,direct_beneficiaries_men,direct_beneficiaries_women,women_s_group,youth_group,breeders_farmers_group,ethnic_minority_group,date_of_organization_of_the_social_audit,number_of_participants_m_in_social_audit,number_of_participants_w_in_social_audit,number_of_participants_t_in_social_audit,beneficiary_villages_count,beneficiary_villages,list_of_villages_crossed_by_track_or_electrification,infrastructure_changed,infrastructure_deleted,level_of_achievement_donation_certificate,comments,location_name,latitude,longitude,hierarchy,geometry,link_to_subproject,depth_of_drilling,drilling_flow_rate,number_of_latrine_blocks,has_latrine_blocs,storage_capacity,official_handover_date_to_sector,length_of_the_track,extension_length,number_of_drinking_fountains,estimated_number_of_beneficiaries,refugee_and_internally_displaced_persons_group,has_fence,number_of_sections_of_track_developed,amount_of_the_controllers_contract_in_SES,amount_of_the_contract_for_construction_supervisors,date_signature_contract_facilitator,amount_of_the_facilitator_contract,amount_spent_on_completing_the_infrastructure,amount_spent_on_infrastructure_up_to_provisional_acceptance,number_of_streetlights,distance_covered_by_streetlights,canton,market_name
1161,577,242,"ConstruCtion, et équipement d'un jardin d'enfants à l'EPP FAREO ",Clôtures d’école,Infrastructure,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception provisoire 100.0%,Réception provisoire,0.0,100.0,,,,,,2024-05-14,,,,,,2024-06-11,5.0,2024-09-13,2026-02-15,,2026-02-19,,False,4,0.0,1,1156.0,566.0,590.0,,,,,,,,,1,2434,[],True,False,,,FAREO,,,FAREO > FARE > OTI 1 > OTI > SAVANES,,881.0,,,,,,,,,,,,,,,,,,,,,,,
1162,578,243,ConstruCtion et équipement d'un jardin d'enfants à l'EPP TADERI ,Clôtures d’école,Infrastructure,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception définitive 100.0%,Réception définitive,0.0,100.0,,,,,,2024-05-20,2024-10-30,,,,,2024-06-05,5.0,2024-09-19,2024-12-28,2025-02-13,2025-03-20,2026-02-19,False,4,0.0,1,1016.0,429.0,587.0,,,,,2025-08-15,60.0,75.0,135.0,1,2437,[],True,False,,,TADERI,,,TADERI > FARE > OTI 1 > OTI > SAVANES,,883.0,,,,,,,,,,,,,,,,,,,,,,,
1163,579,257,Contruction de Batiment scolaire de 3 classes équipées+ bureau+mangasin +forage à EPP Bendenou,Clôtures d’école,Infrastructure,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception technique 100.0%,Achevé,0.0,100.0,,,,,,2025-02-21,,,,,2023-09-08,2025-03-03,5.0,2025-07-21,2025-08-30,2025-09-03,,,False,4,0.0,1,2600.0,1750.0,1850.0,,,,,,,,,1,4089,[],True,False,Maire,,DJABOU,,,DJABOU > MANGO > OTI 1 > OTI > SAVANES,,902.0,,,,,,,,,,,,,,,,,,,,,,,
1164,580,259,Contruction de Batiment scolaire pour le jardin d'enfants de 2 classes équipées+ bureau+Forage à EPP Bonzoukou,Clôtures d’école,Infrastructure,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception définitive 100.0%,Réception définitive,0.0,100.0,,23371382.0,,250000.0,400000.0,2024-06-04,2024-10-25,2053200.0,,,2023-09-08,2024-06-04,5.0,2024-11-03,2024-11-01,2024-11-01,2024-11-26,2025-12-17,True,4,0.0,1,795.0,423.0,372.0,True,True,True,True,2025-07-30,36.0,86.0,122.0,1,2439,[],True,False,Juge,,BONZOUKOU,,,BONZOUKOU > MANGO > OTI 1 > OTI > SAVANES,,905.0,,,,,,,,,,,,,,,,,,,,,,,
1165,581,328,Construction d'un bâtiment scolaire sans latrines avec équipement pour le JEP de l'EPP de Naboagbane SANS FORAGE,Clôtures d’école,Infrastructure,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Achevé 100.0%,Achevé,0.0,100.0,,,,,,2025-03-18,,,,,,2025-04-07,5.0,2025-09-06,2026-03-12,2026-02-03,,,False,5,0.0,1,1135.0,508.0,627.0,,,,,,,,,2,4416; 4417,[],True,False,,,NABOAGBANE,,,NABOAGBANE > TAMI > TONE 3 > TONE > SAVANES,,981.0,,,,,,,,,,,,,,,,,,,,,,,
1166,582,329,Construction d'un bâtiment scolaire sans latrines avec équipement pour le JEP de l'EPP Konkonmongue SANS FORAGE,Clôtures d’école,Infrastructure,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception provisoire 100.0%,Réception provisoire,0.0,100.0,,,,,,2025-03-26,,,,,,2025-04-28,5.0,2025-09-27,2025-08-20,2025-08-20,2025-09-11,,False,5,0.0,1,915.0,397.0,518.0,,,,,,,,,2,4418; 4419,[],True,False,Maire,,KOUNKONMONGUE,10.871155,0.023233,KOUNKONMONGUE > TAMI > TONE 3 > TONE > SAVANES,POINT(0.023233 10.871155),982.0,,,,,,,,,,,,,,,,,,,,,,,
1167,583,330,Construction d'un bâtiment scolaire avec bureau et magasin sans latrines avec équipement pour le JEP de l'EPP Nagueyiegou avec FORAGE,Clôtures d’école,Infrastructure,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception technique 100.0%,Achevé,0.0,100.0,,,,,,2025-04-15,,,,,,2025-05-28,5.0,2025-09-27,2025-10-31,2025-11-03,,,False,5,0.0,1,1204.0,375.0,429.0,,,,,,,,,1,4426,[],True,False,,,NAGUEYIEGOU,0.0,0.0,NAGUEYIEGOU > TAMI > TONE 3 > TONE > SAVANES,POINT(0.0 0.0),983.0,,,,,,,,,,,,,,,,,,,,,,,
1168,584,331,Construction d'un bâtiment scolaire plus latrines  SANS FORAGE avec équipement pour le JEP de l'EPP Konkongou,Clôtures d’école,Infrastructure,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception provisoire 100.0%,Réception provisoire,0.0,100.0,,,,,,2025-03-10,,,,,,2025-04-18,5.0,2025-09-17,2025-10-31,2025-11-03,2025-11-11,,False,5,0.0,1,1028.0,444.0,584.0,,,,,,,,,1,4415,[],True,False,,,KONKONGOU,10.840267,0.08566,KONKONGOU > TAMI > TONE 3 > TONE > SAVANES,POINT(0.08566 10.840267),985.0,,,,,,,,,,,,,,,,,,,,,,,
1169,585,333,Construction d'un bâtiment scolaire plus latrines avec équipement  pour le JEP de l'EPP Touguebeme SANS FORAGE,Clôtures d’école,Infrastructure,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception provisoire 100.0%,Réception provisoire,0.0,100.0,,,,,,2025-07-24,,,,,,2025-08-15,5.0,2026-01-14,2025-12-22,,2025-12-23,,True,5,0.0,1,945.0,449.0,496.0,,,,,,,,,2,4399; 4400,[],True,False,,,TOUGUEBEME 1,,,TOUGUEBEME 1 > TAMI > TONE 3 > TONE > SAVANES,,988.0,,,,,,,,,,,,,,,,,,,,,,,
1170,586,336,Construction d'un bâtiment scolaire plus latrines avec équipement pour le JEP de l'EPP Tami-zongo,Clôtures d’école,Infrastructure,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception provisoire 100.0%,Réception provisoire,0.0,100.0,,,,,,2025-03-05,,,,,,2025-03-11,5.0,2025-08-11,2025-06-09,2025-06-11,2025-06-25,,True,5,0.0,1,624.0,395.0,481.0,,,,,,,,,2,4421; 4422,[],True,False,,,DAMBRE,10.849203,0.020259,DAMBRE > TAMI > TONE 3 > TONE > SAVANES,POINT(0.020259 10.849203),991.0,,,,,,,,,,,,,,,,,,,,,,,
